

 nb subcarrier : 1, subcarrier index0

Decode NSSS - frame nb : 0 , cell_id : 1 , magnitude max : 72.351608 , average_magnitude : 68.667610 
Decode NSSS - frame nb : 1 , cell_id : 1 , magnitude max : 69.960899 , average_magnitude : 68.715515 
Decode NSSS - frame nb : 2 , cell_id : 1 , magnitude max : 68.523872 , average_magnitude : 68.708672 
Decode NSSS - frame nb : 3 , cell_id : 1 , magnitude max : 69.616989 , average_magnitude : 68.739990 
Decode NSSS - frame nb : 0 , cell_id : 1 , magnitude max : 62.053242 , average_magnitude : 68.517097 
Decode NSSS - frame nb : 1 , cell_id : 1 , magnitude max : 67.606354 , average_magnitude : 68.487724 
Decode NSSS - frame nb : 2 , cell_id : 1 , magnitude max : 68.230522 , average_magnitude : 68.479683 
Decode NSSS - frame nb : 3 , cell_id : 1 , magnitude max : 69.149025 , average_magnitude : 68.499962 
Decode NSSS - frame nb : 0 , cell_id : 1 , magnitude max : 64.018616 , average_magnitude : 68.368156 
Decode NSSS - frame nb : 1 , cell_id : 1 , magnitude max : 71.405411 , average_magnitude : 68.454941 
Decode NSSS - frame nb : 2 , cell_id : 1 , magnitude max : 64.464684 , average_magnitude : 68.344093 
Decode NSSS - frame nb : 3 , cell_id : 1 , magnitude max : 63.907101 , average_magnitude : 68.224174 
Decode NSSS - frame nb : 0 , cell_id : 1 , magnitude max : 69.366150 , average_magnitude : 68.254227 
Decode NSSS - frame nb : 1 , cell_id : 1 , magnitude max : 67.487228 , average_magnitude : 68.234566 
Decode NSSS - frame nb : 2 , cell_id : 1 , magnitude max : 74.535744 , average_magnitude : 68.392090 
Decode NSSS - fr

 nb subcarrier : 5, subcarrier index0

Decode NSSS - frame nb : 3 , cell_id : 1 , magnitude max : 73.843803 , average_magnitude : 73.843803 
Decode NSSS - frame nb : 0 , cell_id : 1 , magnitude max : 60.429363 , average_magnitude : 67.136581 
Decode NSSS - frame nb : 1 , cell_id : 1 , magnitude max : 67.986900 , average_magnitude : 67.420021 
Decode NSSS - frame nb : 3 , cell_id : 1 , magnitude max : 71.618492 , average_magnitude : 68.469643 
Decode NSSS - frame nb : 0 , cell_id : 1 , magnitude max : 61.195694 , average_magnitude : 67.014854 
Decode NSSS - frame nb : 1 , cell_id : 1 , magnitude max : 66.957230 , average_magnitude : 67.005249 
Decode NSSS - frame nb : 3 , cell_id : 1 , magnitude max : 67.377266 , average_magnitude : 67.058395 
Decode NSSS - frame nb : 0 , cell_id : 1 , magnitude max : 67.880676 , average_magnitude : 67.161179 
Decode NSSS - frame nb : 1 , cell_id : 1 , magnitude max : 65.924873 , average_magnitude : 67.023811 
Decode NSSS - frame nb : 2 , cell_id : 1 , magnitude max : 53.599140 , average_magnitude : 65.681343 
Decode NSSS - frame nb : 3 , cell_id : 1 , magnitude max : 69.912582 , average_magnitude : 66.066002 
Decode NSSS - frame nb : 0 , cell_id : 1 , magnitude max : 67.528831 , average_magnitude : 66.187904 
Decode NSSS - frame nb : 1 , cell_id : 1 , magnitude max : 65.334282 , average_magnitude : 66.122246 
Decode NSSS - frame nb : 2 , cell_id : 1 , magnitude max : 70.964241 , average_magnitude : 66.468102 
Decode NSSS - frame nb : 3 , cell_id : 1 , magnitude max : 69.136658 , average_magnitude : 66.646004 
Decode NSSS - frame nb : 0 , cell_id : 1 , magnitude max : 60.146412 , average_magnitude : 66.239777 
Decode NSSS - frame nb : 1 , cell_id : 1 , magnitude max : 72.041801 , average_magnitude : 66.581070 
Decode NSSS - frame nb : 2 , cell_id : 1 , magnitude max : 67.166290 , average_magnitude : 66.613579 
Decode NSSS - frame nb : 3 , cell_id : 1 , magnitude max : 71.208565 , average_magnitude : 66.855423 
Decode NSSS - frame nb : 0 , cell_id : 1 , magnitude max : 59.628582 , average_magnitude : 66.494080 
Decode NSSS - frame nb : 1 , cell_id : 1 , magnitude max : 66.221191 , average_magnitude : 66.481087 
Decode NSSS - frame nb : 2 , cell_id : 1 , magnitude max : 66.504730 , average_magnitude : 66.482162 
Decode NSSS - frame nb : 3 , cell_id : 1 , magnitude max : 67.743187 , average_magnitude : 66.536987 
